,Fire_Name,Lat,Long,Fire_Year,Fire_Month,Total_area_burned(ha),Unchanged(ha),Low_Severity(ha),Moderate_Severity(ha),High_Severity(ha),FuelTreatment,TSLF(months)
1421,SUMMIT,37.047,-121.794,2008,5,1472.31,0.0,329.85,616.41,525.69,0,1
989,OAKWOOD,37.076,-119.769,2017,6,609.57,0.0,51.48,547.29,10.8,0,1
367,CROY,37.078,-121.763,2002,9,1257.3,1.44,307.44,558.18,383.94,0,1
804,LOCKHEED,37.082,-122.214,2009,8,3353.04,40.14,1575.63,883.98,843.75,0,1
1227,ROMERO,37.085,-121.077,2000,8,640.26,1.98,20.07,327.42,144.72,0,0
1553,UNNAMED,37.095,-121.171,2001,7,663.48,0.0,60.84,537.84,64.8,0,0
0,152,37.096,-121.167,2003,6,689.94,1.17,88.38,566.19,34.2,0,0
334,COTTONWOOD,37.098,-121.162,1984,5,571.14,9.36,1.17,495.36,65.25,0,1
678,INYO COMPLEX (FULLER),37.104,-118.374,2002,7,2709.45,0.0,1285.92,1317.78,103.05,0,0
1226,ROMERO,37.107,-121.097,1999,6,753.03,0.36,42.39,683.19,13.32,0,1
1139,POWERHOUSE,37.113,-119.467,1989,7,4666.32,40.86,2236.59,1907.1,441.81,0,3
810,LOMA,37.116,-121.818,2016,9,1772.55,0.0,341.91,833.13,594.63,0,0
711,JOHN,37.118,-118.299,2011,9,2340.99,0.0,505.89,1834.74,0.09,0,0
473,FISH,37.124,-118.275,2012,7,450.09,132.75,24.03,291.6,0.18,0,0
776,LEXINGTON,37.141,-121.918,1985,7,4693.77,4.32,915.93,1392.39,2366.82,0,0
375,CZU LIGHTNING COMPLEX,37.14747448,-122.2237692,2020,8,34941.6,19.44,7419.06,9401.49,18080.55,0,0
692,ITALIAN,37.15,-119.419,1992,8,660.96,3.87,430.83,214.11,6.3,0,0
680,INYO COMPLEX (SAGE),37.154,-118.353,2007,7,2662.47,0.18,1851.93,761.13,8.1,0,1
469,FINLEY,37.158,-121.576,1985,7,759.24,1.08,257.4,400.32,93.69,0,0
331,CORRINE,37.179,-119.5,2015,6,431.1,0.9,351.81,75.42,0.45,0,0
121,BIG CREEK,37.214,-119.273,1994,8,2186.19,0.63,443.07,767.34,867.96,1,0
1530,UNNAMED,37.217,-119.311,1987,6,584.28,0.0,170.1,291.96,118.08,0,0
777,LICK,37.223,-121.428,2007,9,19188.36,30.24,6691.77,8735.58,3450.51,0,1
2,165,37.225,-120.834,2001,6,726.03,36.27,146.52,338.76,204.39,0,1
37,ANNIE,37.23,-121.245,2003,8,7032.96,0.54,5510.88,1492.38,15.03,0,1
921,MISSION,37.236,-119.466,2017,9,407.52,0.0,44.73,104.49,256.59,0,0
976,NORTH FORK,37.264,-119.481,2001,8,1681.74,0.09,207.99,563.4,901.26,0,0
487,FORKS,37.28,-118.584,2009,7,1187.19,0.27,132.21,744.84,219.42,0,0
66,BAILEY,37.282,-119.853,2005,7,471.06,0.0,375.48,94.95,0.54,0,0
1663,WILLOW,37.282,-119.479,2015,7,2424.96,0.09,237.6,931.86,1230.39,0,1
499,FRENCH,37.294,-119.36,2014,7,5882.76,12.69,821.52,2196.36,2798.01,0,0
48,ASPEN,37.294,-119.263,2013,7,9536.04,28.08,1615.86,4779.0,3005.01,1,0
1013,ORESTIMBA,37.301,-121.316,1995,10,1144.08,12.15,877.05,239.49,10.08,0,6
1465,TOM,37.322,-118.618,1998,8,1362.06,2.7,197.82,675.09,379.89,0,0
949,MT. STAKES,37.324,-121.428,1994,10,595.53,0.45,374.58,173.43,47.07,0,7
1411,STUHR,37.331,-121.135,2006,5,625.86,0.0,2.34,52.11,7.47,0,1
359,CREEK,37.33285595,-119.2763844,2020,9,153659.34,1877.94,22777.92,58350.33,67141.62,0,1
661,HWY 140,37.333,-120.13,2008,6,512.28,0.0,0.0,512.28,0.0,0,0
1281,SCU COMPLEX,37.35146709,-121.4469168,2020,8,160572.42,76.59,71625.51,69351.39,17002.44,0,0
238,CANYON,37.36,-121.345,2006,7,14911.92,1.35,5203.35,8363.43,1292.4,0,0
813,LONG GULCH,37.374,-121.529,1990,7,563.58,0.0,191.61,344.7,26.64,0,1
1119,POLE,37.38,-118.613,1995,6,1649.25,0.99,161.64,1359.36,117.72,0,1
718,JUMP,37.387,-121.522,2003,8,1949.13,0.9,1073.52,849.69,24.3,0,0
1112,PLANADA,37.406,-120.292,2018,6,1875.69,0.0,186.12,1528.92,160.65,0,0
1114,PLEASANT,37.41,-118.445,2018,2,921.78,82.71,163.17,519.57,125.73,0,2
734,KINCAID,37.419,-121.666,2004,8,493.38,0.0,230.49,154.8,108.09,0,0
1412,STUMPFIELD,37.426,-119.817,1996,8,1192.77,0.0,497.88,487.44,196.29,0,0
393,DEL PUERTO,37.432,-121.402,2003,7,2606.94,0.0,1697.76,883.71,20.61,0,0
1157,RAILROAD,37.441,-119.613,2017,8,5165.91,0.45,454.23,1604.52,3104.91,0,0
1354,SNELLING,37.457,-120.365,1992,7,895.95,1.89,23.4,784.08,86.58,0,0
1212,ROBINSON,37.465,-120.358,2010,6,617.58,0.36,144.45,472.77,0.0,0,0
1216,ROCK,37.475,-121.257,2019,6,990.09,7.74,66.06,742.23,90.18,0,1
1000,OLD HWY,37.487,-119.948,2004,9,563.85,6.84,262.26,267.12,23.94,0,1
1230,ROUND,37.491,-118.624,2015,2,2506.59,10.35,1193.85,1117.62,111.78,0,4
403,DEVIL,37.492,-121.572,2003,8,2014.56,0.0,1527.57,404.55,82.44,0,0
1003,OLIVER,37.499,-119.74,2008,6,1154.61,0.18,215.64,583.38,354.15,0,0
508,GAINES,37.51,-120.151,2012,6,716.94,118.71,48.78,477.99,69.93,0,0
525,GERBER,37.513,-121.355,1987,5,566.37,0.0,167.49,396.18,2.52,0,1
124,BIRCH,37.539,-118.663,2002,7,1041.03,0.0,76.14,610.92,316.71,0,0
260,CARSTENS,37.544,-119.873,2013,6,701.64,0.0,126.36,240.39,334.71,0,1
399,DETWILER,37.55,-120.121,2017,7,33374.52,40.86,19848.24,12132.45,858.06,0,0
125,BIRD,37.551,-121.335,2003,6,3124.44,0.0,237.06,2460.87,202.77,0,1
1370,SOUTH FORK,37.568,-119.576,2017,8,3259.26,4.05,855.09,1639.08,737.46,0,0
694,JACK,37.573,-119.663,2007,10,457.83,0.0,275.49,166.68,15.66,0,1
801,LIONS,37.588,-119.163,2018,6,5752.98,110.25,1998.0,2449.8,1152.18,0,1
1159,RAINBOW,37.592,-119.078,1992,8,3143.97,181.53,1215.45,871.74,850.05,0,9
329,CORRAL,37.593,-121.488,2009,8,4855.32,0.36,1005.66,3342.06,355.5,0,7
1446,TELEGRAPH,37.607,-120.015,2008,7,13547.25,68.13,3135.33,8152.02,2110.59,0,2
178,BRICEBURG,37.608,-119.932,2019,10,2237.31,0.0,299.52,1350.72,580.86,0,0
660,HUNTER,37.613,-120.173,2000,8,3131.64,9.72,902.79,1566.99,616.5,0,0
770,LAUREL,37.613,-118.914,1987,8,452.52,4.59,154.71,225.54,66.33,0,0
658,HUNTER,37.614,-120.197,1992,5,559.44,0.99,103.86,254.88,170.64,0,1
1069,PELICAN,37.625,-121.196,2004,7,589.77,112.59,84.33,266.4,126.45,0,1
179,BRICEBURG,37.632,-119.958,1985,8,437.49,1.53,59.58,295.2,77.58,0,8
464,FERGUSON,37.635,-119.807,2018,7,38801.34,18.72,6194.97,17204.4,15316.02,0,1
1451,TESLA,37.636,-121.594,2015,8,1015.38,0.0,404.37,541.26,0.81,0,0
1642,WHEEL 1  2,37.641,-121.472,1994,8,599.67,0.0,296.91,288.0,0.0,0,0
1269,SAVAGE,37.649,-119.878,1990,8,900.72,9.18,171.81,360.09,357.39,0,0
1333,SITE 300 3,37.651,-121.474,1984,6,2794.77,0.54,14.94,1883.7,401.67,0,1
452,EMPIRE,37.654,-119.588,2017,8,3920.76,19.08,1430.01,1638.54,825.84,0,0
647,HORIZON,37.655,-119.536,1994,8,1222.65,11.52,546.93,543.24,109.35,0,2
1517,UNNAMED,37.656,-121.529,1986,6,1138.14,5.4,0.72,763.47,38.61,0,0
1450,TESLA,37.661,-121.565,2005,7,2685.6,3.42,223.56,1644.03,434.16,0,1
57,AVALANCHE,37.664,-119.686,2011,7,466.56,1.89,307.89,147.33,8.73,0,1
823,LOST BEAR,37.666,-119.595,1987,7,738.0,0.45,336.42,330.48,70.65,0,0
457,EXPLOSIVE,37.669,-121.502,2009,6,868.86,0.0,235.98,499.5,7.92,0,0
302,CLEARHOUSE,37.673,-119.88,1988,7,919.08,4.95,242.91,454.59,215.55,0,1
900,MIDWAY,37.677,-121.513,2006,7,2566.44,4.77,234.45,1632.42,269.55,0,0
943,MOTOR,37.678,-119.849,2011,8,2151.18,759.33,133.65,516.6,734.22,0,1
1393,STEAMBOAT,37.685,-119.702,1990,8,2066.4,7.83,853.65,629.1,568.98,0,0
573,GROUSE,37.687,-119.686,2009,5,1248.21,2.97,591.12,463.86,171.18,0,1
752,LAGRANGE,37.692,-120.444,2008,6,572.67,7.29,0.09,547.02,18.27,0,1
11,A-ROCK,37.702,-119.786,1990,8,7194.78,23.4,880.47,2456.46,3747.33,0,1
669,ILL,37.704,-119.542,1991,9,1253.34,12.15,313.29,491.94,387.09,0,0
440,EL PORTAL,37.711,-119.78,2014,7,2010.87,0.0,341.46,1001.25,655.65,0,0
558,GRANITE,37.716,-120.248,2000,7,776.79,0.0,212.13,413.01,144.72,0,1
9,580,37.728,-121.663,1998,8,448.2,0.0,22.77,227.25,4.14,0,1
122,BIG MEADOW,37.731,-119.757,2009,8,3170.25,3.96,527.49,1445.13,1144.08,0,10
764,LARSON,37.732,-119.937,1987,8,19930.05,32.67,4785.84,7645.14,7434.54,0,0
868,MEADOW,37.745,-119.483,2014,8,1761.03,71.82,380.07,495.18,702.27,0,0
263,CASCADE CR,37.757,-119.715,1986,7,836.55,19.89,464.04,305.55,39.96,0,0
1022,OWENS RIVER,37.765,-118.911,2016,9,2487.33,14.76,860.4,983.25,288.36,0,0
1021,OWENS,37.768,-118.817,1985,8,1240.47,0.09,143.46,503.64,571.95,0,9
1147,PW3,37.77,-119.77,1989,10,698.13,0.09,636.75,37.71,23.58,0,9
864,MCLAUGHLIN,37.772,-118.86,2001,7,1047.24,2.52,31.68,146.34,805.68,0,1
357,CREEK,37.774,-120.236,2001,8,3965.13,0.09,788.49,2087.1,1050.21,0,0
262,CASCADE,37.777,-119.675,2012,6,657.54,2.97,196.38,418.77,39.42,0,0
852,MARSHES,37.778,-120.282,2016,9,446.58,0.0,131.58,279.9,34.74,0,1
1434,TAMARACK,37.778,-119.735,2011,9,409.95,0.27,156.69,220.86,32.04,0,0
925,MOC,37.78706787,-120.2725478,2020,8,1151.64,0.18,465.66,525.24,157.23,0,0
1146,PW-03 GIN FLAT,37.789,-119.76,2002,10,1386.9,0.0,705.15,621.72,60.03,0,8
591,HAMM,37.796,-120.06,1987,8,15918.3,93.87,2373.48,5738.4,7529.22,0,1
297,CLARK,37.799,-118.916,2016,8,1227.33,0.18,428.31,620.37,110.07,1,1
1270,SAWMILL,37.804,-118.63,2006,9,2870.37,0.36,864.09,1767.42,238.5,0,0
1068,PEDRO,37.806,-120.376,2006,7,899.82,7.47,232.83,444.51,214.2,0,0
49,ASPEN PW 2,37.807,-119.799,1998,10,1218.69,0.45,873.54,330.75,7.83,0,5
381,DARK HOLE,37.815,-119.618,2014,7,453.15,6.12,157.86,240.93,46.44,0,1
50,ASPEN VALLEY,37.822,-119.786,1997,10,723.69,0.36,269.55,305.37,143.91,0,8
567,GREENRIDGE 6,37.831,-121.716,1998,5,593.82,38.52,13.77,209.7,218.97,0,3
927,MOCCASIN,37.834,-120.297,1992,8,3693.78,33.03,1103.58,2232.27,311.85,0,0
1378,SPRINGS,37.835,-118.904,2019,7,2413.62,4.14,1980.9,420.03,4.05,0,1
142,BLUEJAY,37.84126306,-119.6110573,2020,7,2780.19,43.56,855.36,1515.6,363.6,0,0
1091,PILOT,37.845,-119.984,1999,8,1551.69,0.45,138.51,430.92,960.84,0,0
1486,TUNNEL,37.85,-122.227,1991,10,743.85,4.41,381.15,321.3,8.91,0,0
1674,WOLF,37.88102161,-119.6231191,2020,8,823.95,7.83,384.48,420.21,11.43,0,0
939,MORGAN,37.883,-121.901,2013,9,1226.79,39.87,389.7,453.78,323.01,0,0
431,EARLY,37.886,-119.946,2004,8,696.69,1.53,57.6,276.57,360.72,0,1
596,HARDEN,37.893,-119.694,2009,6,672.57,1.62,281.61,284.58,104.76,0,1
1225,ROGGE,37.899,-120.113,1996,8,7106.58,57.33,1880.19,3593.34,1348.74,0,0
978,NORTH MOUNTAIN,37.899,-119.897,2008,6,1135.98,0.09,247.14,701.19,162.54,0,0
1617,WALKER,37.902,-119.151,2015,8,1528.2,4.86,218.25,810.36,420.03,0,0
932,MONO,37.902,-119.051,2010,7,526.14,8.64,100.62,226.35,189.63,1,0
1349,SLOPE,37.903,-119.669,2010,7,945.45,3.78,680.04,243.81,17.46,0,0
782,LIGHTNING 84 (STENT,37.904,-120.429,1988,6,468.27,11.07,150.57,276.21,30.24,0,0
13,ACKERSON COMPLEX (ACKERSON),37.913,-119.818,1996,8,23518.44,72.27,5047.83,10962.36,6666.3,0,2
1200,RIM,37.916,-119.969,2013,8,104023.89,637.11,22364.28,33619.32,45931.05,0,0
222,CALAVERAS COMPLEX,37.917,-120.674,2004,8,1490.13,9.99,156.42,1192.77,130.95,0,0
1042,PAPER,37.917,-120.132,1987,8,19949.04,166.5,3870.18,7263.81,8266.23,0,0
353,CRATER,37.917,-118.95,2001,8,2248.74,126.81,1782.99,314.1,23.58,0,0
1074,PEORIA,37.926,-120.503,1995,7,1414.89,24.39,498.87,879.12,12.24,0,1
1054,PATEVALLEY,37.93,-119.571,1985,6,436.14,3.96,111.51,139.5,164.52,0,0
704,JARREL,37.931,-119.877,1987,9,710.19,0.36,188.01,374.76,141.93,0,9
96,BEACH,37.93308926,-118.9869772,2020,8,1479.69,14.85,102.51,1308.51,38.79,0,0
914,MILTON,37.939,-120.908,2011,9,473.85,104.31,97.29,260.73,0.63,0,0
1656,WILDCAT,37.942,-119.482,2009,7,474.66,19.26,164.34,168.39,109.26,0,0
674,INDIAN,37.956,-118.848,2012,8,5124.15,1049.76,2927.25,999.09,50.13,0,0
616,HETCHY,37.964,-119.727,2004,10,831.15,5.58,300.15,288.18,182.25,0,8
504,FROG CREEK,37.98,-119.783,1991,9,1201.77,8.28,488.25,555.66,86.94,0,8
326,COPPER 8,37.988,-120.631,1994,6,708.57,0.0,183.33,510.57,14.04,0,0
1253,SALT,37.99910983,-120.7523615,2020,8,642.15,0.18,66.51,575.19,0.27,0,1
1632,WAVERLY,38.0,-120.846,2018,6,4917.06,3.24,418.59,4389.93,13.05,0,0
1255,SALT SPRING,38.004,-120.647,1984,6,1957.23,0.36,56.43,1636.56,261.72,0,1
339,COTTONWOOD COMPLEX,38.005,-120.198,1990,9,1018.98,0.0,121.14,324.9,565.65,0,0
979,NORTH PARK COMPLEX (ELEANOR),38.008,-119.84,1999,8,1010.25,13.41,391.5,466.11,90.9,0,0
780,LIGHTNING 12,38.014,-120.573,1996,8,495.63,3.24,157.23,283.41,46.26,0,0
502,FROG,38.019,-119.751,1987,6,1396.35,50.13,718.56,494.73,131.67,0,1
1679,WOODWARD,38.02328105,-122.8210841,2020,8,1977.12,0.09,790.83,752.4,433.8,0,0
732,KIBBIE 2,38.031,-119.841,1997,9,1003.68,14.94,424.53,494.73,65.25,0,0
1612,VISION,38.05,-122.864,1995,10,4897.35,17.46,3495.87,1109.34,274.68,0,0
358,CREEK,38.066,-120.334,1994,8,604.98,0.0,63.27,249.93,290.97,0,5
1616,WALKER,38.07062309,-120.7061626,2020,6,560.43,0.0,47.16,428.58,83.43,0,0
509,GANN,38.095,-120.754,1985,7,407.52,0.09,73.8,277.02,56.61,0,0
360,CREEK,38.121,-119.948,2017,9,870.57,4.23,591.3,253.8,19.62,1,0
1233,RUBY,38.145,-120.195,1992,9,1613.34,0.0,42.75,221.4,1346.67,1,0
946,MOUNTAIN COMPLEX,38.146,-119.9,2003,7,1631.52,60.93,822.24,576.0,171.9,1,1
1456,THIRTY SEVEN,38.155,-122.474,2017,10,718.2,0.45,93.06,549.27,75.42,0,0
1057,PATTISON,38.173,-120.871,2004,9,1157.49,1.17,316.89,613.8,225.0,0,0
748,KNIGHT,38.175,-120.229,2009,7,3293.82,79.02,1277.28,1272.33,664.29,0,0
581,GULCH,38.181,-120.477,1992,8,7288.92,0.45,831.42,2418.03,4037.04,0,0
1548,UNNAMED,38.187,-120.773,2001,7,435.15,31.05,36.09,227.43,140.58,0,0
46,ARMSTRONG,38.187,-120.425,2004,8,436.41,0.09,67.59,130.68,237.69,0,0
380,DARBY,38.195,-120.307,2001,9,5963.67,40.95,781.02,2580.3,2558.52,1,0
775,LEONARD,38.218,-120.623,2001,8,2131.92,0.09,403.47,915.21,813.06,0,0
1563,UNNAMED,38.247,-121.901,1989,7,832.5,15.21,12.33,79.29,22.14,0,0
1136,POWER,38.25,-120.016,2013,8,478.89,0.45,80.91,199.44,197.91,0,0
1376,SPRING PEAK,38.25,-118.89,2013,8,1796.31,2.07,473.85,1050.48,269.73,0,10
196,BUCKEYE,38.253,-119.313,2011,9,480.42,118.17,101.88,213.21,32.94,0,5
701,JACKSON,38.261,-120.94,2001,6,928.71,11.88,190.26,679.5,46.44,0,0
208,BUTTE,38.266,-120.592,2015,9,29472.39,70.83,5385.15,10683.63,13317.84,0,0
1045,PARDEE,38.27,-120.82,1988,6,623.07,9.99,157.95,385.29,69.84,0,1
855,MASON,38.279,-120.469,1988,7,1680.57,2.34,609.12,696.6,370.71,0,0
1655,WILD,38.301,-122.169,2008,6,1654.83,2.16,644.67,882.72,108.27,0,0
1202,RIMROCK,38.305,-120.431,1996,8,1092.15,0.09,226.98,587.34,275.04,0,0
961,NELSON,38.312,-121.999,2018,8,892.44,3.06,40.86,207.81,340.11,0,1
180,BRIDGE,38.338,-120.467,1988,7,2740.95,5.67,658.08,922.14,1153.35,0,1
984,NUNS,38.349,-122.503,2017,10,22985.01,44.01,12588.12,7073.73,3110.94,0,0
1082,PGE 8,38.349,-122.452,1996,8,940.05,2.61,337.95,353.34,246.15,0,0
54,ATLAS,38.364,-122.237,2017,10,20768.31,33.75,11692.89,6968.61,1842.39,0,0
861,MCCORMICK,38.38,-119.875,2017,8,1775.97,0.63,265.14,570.24,928.17,1,0
1652,WHITT,38.382,-119.988,2003,8,460.8,2.43,132.12,245.79,69.57,1,1
417,DONNELL,38.383,-119.822,2018,8,14626.62,48.78,3634.11,4417.29,6282.63,0,1
152,BOOT,38.386,-119.429,2018,9,2813.49,41.85,449.01,1305.09,741.78,0,1
518,GATES,38.395,-122.055,1996,10,612.54,0.0,454.77,151.65,1.08,0,0
1162,RAMSEY,38.395,-120.157,2012,8,466.56,0.72,118.44,192.87,149.04,0,0
912,MILLER,38.43,-122.094,1988,9,14465.79,34.29,7614.36,4661.37,1881.18,0,0
634,HIRAM,38.442,-119.912,1999,8,1141.65,26.64,330.21,405.54,213.12,0,1
911,MILLER,38.446,-122.093,1985,8,819.27,0.0,283.32,463.23,50.94,0,0
1148,QUAIL,38.47420835,-122.0173739,2020,6,741.15,3.69,503.73,201.6,10.35,0,0
1682,WRAGG,38.481,-122.069,2015,7,3262.41,7.29,301.32,1034.37,1870.11,0,0
234,CANNON,38.488,-119.464,2002,6,10159.74,33.93,1839.33,3487.5,3666.78,0,1
1134,POWER,38.502,-120.28,2004,10,6985.17,19.17,1267.2,2268.36,3406.77,0,0
892,MEYERS,38.50605403,-123.2038079,2020,8,946.53,0.45,444.33,264.33,235.62,0,0
1345,SLINK,38.52241737,-119.5658973,2020,8,10792.26,15.75,2814.84,4543.02,2520.72,1,0
1669,WINTER,38.526,-122.054,2017,7,1004.31,0.81,143.91,732.87,104.76,0,0
116,BERRYESSA,38.529,-122.244,2000,6,1954.08,4.68,606.96,1245.87,96.57,0,0
767,LATROBE INCIDENT,38.529,-121.048,2017,7,643.95,0.0,48.78,490.68,104.49,0,0
311,COLD,38.536,-122.077,2016,8,2545.02,14.76,507.96,1678.32,284.58,0,0
542,GOLDEN,38.536,-119.529,2000,8,700.92,0.18,124.02,342.9,208.26,0,10
535,GLASS,38.53799987,-122.5461373,2020,9,27217.44,60.3,6179.76,10159.65,10561.05,0,0
934,MONTICELLO,38.538,-122.07,2014,7,2826.72,1.35,378.81,1992.33,381.33,0,0
763,LARSON,38.551,-119.513,2007,6,491.76,3.15,138.78,237.69,89.91,0,0
1670,WINTERS,38.552,-121.994,1989,5,420.39,6.39,0.0,413.64,0.0,0,1
947,MOUNTAIN VIEW,38.55783911,-119.4114122,2020,11,5123.52,20.52,626.85,1685.07,2170.44,0,0
1675,WOLF CREEK,38.561,-119.721,2010,7,488.16,2.25,187.83,194.85,97.47,0,1
1278,SCOTT,38.565,-121.047,1996,8,3572.1,0.0,170.37,1578.24,1821.15,0,0
559,GRANT FIRE,38.56711914,-121.1545024,2020,6,2043.36,6.57,120.06,1573.92,41.94,0,0
1483,TUBBS,38.568,-122.68,2017,10,14927.22,21.51,6982.11,4818.96,2968.47,0,0
1261,SAND,38.575,-120.79,2014,7,1787.13,39.51,594.45,782.46,370.26,0,0
1620,WALKER COMPLEX,38.582,-119.529,1996,7,1050.3,1.08,142.56,465.66,373.86,0,1
1352,SMUD 1,38.591,-121.067,1992,6,514.98,0.81,64.08,448.02,2.07,0,1
698,JACKASS,38.592,-119.376,2006,7,308.34,0.0,28.17,87.84,154.89,0,0
379,DANA,38.598,-119.548,2004,6,1236.33,11.43,595.44,378.72,137.16,0,1
1556,UNNAMED,38.608,-121.191,1994,7,704.16,221.04,161.73,213.03,4.5,0,0
140,BLUE RIDGE,38.615,-122.124,1988,9,2076.12,0.0,797.76,773.55,356.85,0,2
1623,WALLBRIDGE,38.61605842,-123.0123944,2020,8,22294.35,19.62,7538.04,7891.38,6733.26,0,0
614,HENNESSEY,38.61777795,-122.2386775,2020,8,123185.25,365.49,43019.55,48398.22,29471.4,0,0
1628,WASHINGTON,38.642,-119.699,2015,6,7481.88,172.08,2391.66,2589.84,1624.68,0,1
1346,SLINKARD,38.65,-119.567,2002,7,3602.16,2.16,514.53,1465.92,999.0,0,2
1347,SLINKARD,38.659,-119.571,2017,8,3434.76,0.72,609.93,1483.92,815.13,0,1
733,KINCADE,38.672,-122.776,2019,10,31246.56,241.92,16085.07,9518.31,5230.08,0,1
342,COUNTY,38.683,-122.155,2018,6,37411.83,15.12,6642.0,20093.94,9948.6,0,0
212,BUTTS,38.698,-122.443,2014,7,1727.82,3.87,430.29,1200.15,93.51,0,0
253,CAPLES,38.706,-120.16,2019,10,1405.8,0.0,411.3,491.31,469.89,1,0
1353,SNELL,38.714,-122.39,2018,9,1008.63,3.42,200.97,627.12,177.12,0,0
527,GEYSERS,38.729,-122.746,2004,9,4886.28,23.76,1402.38,2246.31,1199.25,0,8
71,BALD MT.,38.746,-122.103,1985,10,2162.25,15.66,12.96,1913.31,182.97,0,9
1116,PLUM,38.746,-120.398,2002,11,746.73,1.17,474.03,201.78,66.06,0,0
617,HIDDEN,38.753,-122.571,2000,11,1221.3,0.54,289.44,931.32,0.0,0,1
1695,ZAM ASSIST,38.754,-121.905,2006,9,5828.58,69.57,986.4,4192.11,540.27,0,0
1235,RUMSEY,38.757,-122.274,2004,10,15918.03,18.09,8178.3,7276.23,390.6,0,0
526,GEYSERS,38.765,-122.787,1991,10,2020.32,23.13,518.94,1027.17,414.18,0,1
1117,POCKET,38.77,-122.883,2017,10,7565.58,8.19,3638.61,3120.03,781.47,0,0
1520,UNNAMED,38.774,-122.84,1989,6,2067.48,2.88,1058.31,966.06,24.12,0,0
496,FREDS,38.787,-120.318,2004,10,3297.06,3.42,435.24,887.4,1952.64,0,10
1603,VALLEY,38.788,-122.613,2015,9,31139.28,144.09,6311.79,11246.76,13242.96,0,0
15,ACORN,38.789,-119.822,1987,7,2567.16,11.43,749.34,766.53,948.24,0,1
1208,RIVER,38.794,-122.966,1988,8,585.99,0.0,337.59,194.22,53.01,0,6
860,MCCABE,38.802,-122.839,2013,11,1346.4,8.46,790.92,502.11,36.99,0,8
1335,SIXTEEN,38.803,-122.328,1999,10,15034.23,71.19,6897.24,7370.91,674.28,0,0
620,HIDDEN VALLEY,38.805,-122.527,1985,9,827.1,0.0,672.48,144.27,10.35,0,1
1085,PHILLIPS,38.811,-121.383,2007,7,426.24,0.0,26.46,136.26,208.8,0,0
729,KELSEY,38.813,-120.801,1994,8,404.28,0.09,61.11,110.16,231.93,0,0
1271,SAWMILL,38.814,-122.841,2016,9,638.01,3.42,184.14,333.27,115.56,0,1
671,INDIAN,38.817,-119.693,1984,6,1832.31,24.48,568.8,673.83,495.18,0,0
1499,UNNAMED,38.829,-121.973,1996,10,1165.86,12.42,60.66,751.77,230.94,0,2
495,FREDRICKSBURG,38.83,-119.808,1986,7,1455.57,1.35,387.18,689.22,313.02,0,1
940,MORGAN,38.831,-122.453,2003,9,996.66,0.72,309.96,478.17,207.81,0,0
303,CLEVELAND,38.833,-120.432,1992,9,8838.09,30.6,844.11,1577.79,6298.38,0,0
1584,UNNAMED,38.855,-121.269,1992,8,621.0,1.62,56.07,559.35,1.53,0,0
1522,UNNAMED,38.859,-122.856,1985,6,3907.17,16.2,3253.41,483.93,46.89,0,0
1093,PINE,38.862,-122.924,2002,11,431.73,0.0,196.47,195.93,38.61,0,0
1237,RUMSEY,38.877,-122.275,1988,9,564.48,0.0,151.65,318.6,89.1,0,0
1236,RUMSEY,38.881,-122.256,1999,9,1246.68,0.36,433.08,720.99,90.72,0,0
36,ANGORA,38.886,-120.04,2007,6,1220.13,2.52,145.62,349.2,709.29,0,1
1,16,38.893,-122.265,2002,10,615.69,0.54,557.28,55.98,0.99,0,1
1259,SAND,38.904,-122.259,2019,6,989.28,13.23,264.42,503.46,207.9,0,1
1222,ROCKY,38.91,-122.45,2015,7,38810.07,379.71,7664.76,15477.57,15231.78,0,0
938,MORGAN,38.911,-122.539,2000,7,1345.95,2.7,628.74,572.4,141.39,0,0
300,CLAYTON,38.915,-122.587,2016,8,1502.82,11.97,429.39,800.55,260.91,0,0
491,FORTY,38.916,-122.282,2003,9,529.74,129.69,323.91,75.78,0.36,0,0
533,GLADDING,38.916,-121.252,2008,9,418.5,0.09,182.07,188.73,47.61,0,0
735,KING,38.93,-120.542,2014,9,40089.87,289.26,7718.13,9138.6,22856.22,0,0
897,MIDDLE,38.931,-122.296,1998,8,2583.9,19.8,1194.12,1201.77,168.21,0,0
56,AUTUMN HILLS,38.935,-119.858,1996,6,38.07,0.0,15.21,15.66,5.85,0,1
991,OASIS,38.946,-122.401,2009,9,596.43,11.52,181.35,308.88,94.68,0,1
1505,UNNAMED,38.958,-122.775,1987,4,722.7,0.0,532.35,188.91,0.9,0,0
426,EAGLE,38.961,-122.508,1990,6,1015.11,11.34,872.82,124.83,1.44,0,1
1474,TRAILHEAD,38.963,-120.83,2016,6,2323.53,9.0,390.15,894.15,1029.6,0,0
154,BORAX FIRE,38.987,-122.654,1992,9,605.07,0.0,276.12,236.43,92.52,0,0
485,FORK,38.98710069,-120.4242487,2020,9,674.19,0.0,166.59,328.5,177.21,0,0
1418,SULFUR,38.992,-122.666,2017,10,1034.19,3.24,324.0,463.14,243.81,0,0
890,MEU LIGHTNING COMPLEX (SUGARLOAF),38.999,-123.503,2008,6,3378.69,4.77,2239.38,956.7,177.3,0,0
1336,SIXTEEN COMPLEX,39.01,-122.305,2012,9,7359.57,2404.98,955.53,2466.45,1446.12,0,0
1683,WYE,39.011,-122.587,2012,8,1259.82,308.7,301.14,410.4,239.49,0,0
