,Fire_Name,Lat,Long,Fire_Year,Fire_Month,Total_area_burned(ha),Unchanged(ha),Low_Severity(ha),Moderate_Severity(ha),High_Severity(ha),FuelTreatment,TSLF(months)
385,DAY,34.615,-118.971,2006,9,64631.88,482.22,10329.75,29605.5,24214.41,0,1
1536,UNNAMED,34.619,-119.688,1994,6,730.35,0.0,296.37,411.57,22.41,0,0
773,LEONA,34.629,-118.302,1986,7,412.11,1.26,62.19,198.54,149.94,0,1
1266,SANTA ROSA,34.634,-120.33,1997,8,1145.97,0.99,237.06,743.13,149.49,0,0
1591,UNNAMED,34.634,-119.892,1986,9,1778.13,5.4,783.09,940.23,49.41,0,0
1094,PINE,34.639,-119.234,2016,6,948.6,4.41,429.57,382.68,131.94,0,1
1257,SAN FRANCISCO,34.649,-118.384,1989,6,947.97,8.73,283.05,413.01,243.18,0,0
103,BEAR CREEK,34.654,-120.583,2010,10,531.36,0.09,199.26,177.39,154.62,0,9
471,FISH,34.664,-119.152,1987,10,1639.62,22.68,485.01,801.54,330.39,0,0
1138,POWERHOUSE,34.668,-118.457,2013,5,13052.79,49.5,2668.14,5039.91,5289.3,0,0
757,LAKE,34.67641957,-118.555063,2020,8,12506.13,8.73,807.57,3691.62,7995.24,0,0
951,MUNZ,34.693,-118.37,2005,6,563.58,3.96,503.82,55.53,0.27,0,1
1694,ZACA,34.695,-119.659,2007,7,97876.8,334.53,10926.63,32836.68,53777.43,0,2
1400,STODDARD 4,34.698,-117.123,1993,7,1009.17,0.27,349.29,648.99,5.31,0,2
1399,STODDARD 2,34.701,-117.075,1984,5,994.41,0.0,0.0,983.79,7.83,0,0
590,HALOWEEN,34.706,-120.577,1997,10,467.37,4.41,170.19,238.5,54.18,0,9
60,AZALEA,34.71,-120.494,1997,9,552.96,32.76,244.17,189.9,86.13,0,0
218,CACHUMA,34.724,-119.901,2004,5,432.18,0.9,89.1,223.38,118.8,0,1
851,MARRE,34.725,-119.957,1993,9,17931.33,98.64,10236.78,6038.64,1557.18,0,1
988,OAK HILL,34.731,-120.446,1994,10,803.88,94.23,420.66,222.21,65.7,0,8
324,COPCO,34.74,-118.781,2002,6,611.73,32.04,80.01,350.19,149.49,0,1
1468,TOPOCK,34.74,-114.51,2016,4,78.3,2.97,46.08,22.5,4.86,0,2
1095,PINE,34.741,-118.608,2004,7,7409.34,22.5,2713.86,3120.93,1551.87,0,0
1129,POPPY FIRE,34.745,-118.371,1986,8,496.44,0.0,22.77,376.11,97.56,0,0
549,GORMAN,34.758,-118.812,2007,5,1053.72,138.33,465.57,447.66,2.16,0,1
600,HARRIS,34.781,-120.486,2000,9,3753.27,19.89,1893.69,1372.5,460.44,0,0
555,GRAND,34.789,-118.911,2013,5,1831.41,18.81,313.92,1149.93,348.48,0,1
1511,UNNAMED,34.8,-119.676,1997,5,475.47,1.26,317.07,115.11,41.76,0,2
1149,QUAIL,34.805,-118.819,2006,8,2004.21,349.74,290.07,1012.59,351.81,0,1
920,MINUTEMAN,34.807,-120.501,1984,5,1278.81,0.0,8.46,779.76,489.6,0,1
550,GORMAN,34.811,-118.877,2005,9,987.66,20.88,208.8,562.5,195.48,0,1
1592,UNNAMED,34.814,-120.335,1985,9,450.81,2.43,131.49,312.57,2.16,0,0
