,Fire_Name,Lat,Long,Fire_Year,Fire_Month,Total_area_burned(ha),Unchanged(ha),Low_Severity(ha),Moderate_Severity(ha),High_Severity(ha),FuelTreatment,TSLF(months),PDepth>0.01in,PDepth>0.1in,PDepth>1in,SDepth>1in,DaysT<32d,DaysT>70d,DaysT>90d,HighestDaySnow,HighestDayRain,HighestDayTemp,TotalRain,TotalSnow,AvgMonthMax
588,CHISPA,35.45,-120.549,1989,7,3994.74,32.49,735.39,1800.09,1422.45,0,0,26.0,15.0,0.0,0.0,0.0,252.0,95.0,0.0,21.600000000000005,44.4,121.8,0.0,25.28
589,RICH BAR COMPLEX,35.451,-118.767,1999,9,892.89,65.61,243.45,575.91,7.65,0,0,47.0,28.0,4.0,8.0,0.0,222.0,84.0,191.0,44.5,40.6,329.1,659.0,23.58
590,STAGECOACH,35.45344473,-118.484881,2020,8,3115.08,0.09,353.43,2242.44,472.95,0,1,36.5,19.5,0.5,3.6219934355604733,0.0,218.0,120.0,69.93284063216659,23.0,43.9,182.8,374.4655954594603,25.2
591,ANTELOPE,35.458,-119.892,2011,6,2130.93,161.19,296.19,1536.75,134.01,0,0,24.0,13.0,0.0,3.6219934355604733,0.0,209.5,101.0,69.93284063216659,19.800000000000004,40.314285714285724,102.70000000000003,374.4655954594603,24.281428571428574
592,RICH BAR,35.458,-118.707,1985,6,3294.18,1.8,1175.04,2081.16,4.59,0,0,39.07692307692308,23.615384615384617,4.076923076923077,3.076923076923077,3.138077881268154,194.99819191814728,61.23320956669523,166.15384615384616,47.96923076923076,39.51175228921307,351.94615384615383,456.15384615384613,21.800804610486804
593,CHOCKTAW,35.459,-118.879,1997,8,4141.62,13.86,313.29,2821.77,992.7,0,0,39.42857142857143,25.428571428571427,2.142857142857143,1.4285714285714286,0.0,242.0,113.0,27.142857142857142,45.88571428571429,43.3,335.3999999999999,45.0,25.69
594,HAVILAH,35.473,-118.553,1988,8,572.58,0.0,132.03,366.66,73.89,0,0,44.0,28.0,2.0,4.0,3.138077881268154,194.99819191814728,61.23320956669523,89.0,33.5,39.51175228921307,355.9538461538462,318.0,21.800804610486804
595,TWISSLEMAN,35.479,-119.897,1988,6,738.63,183.69,41.31,498.06,14.4,0,0,32.0,13.0,0.0,0.0,0.0,239.0,100.0,0.0,20.300000000000004,41.699999999999996,133.90000000000003,0.0,25.16
596,ROUND MOUNTAIN,35.479,-118.909,1996,6,1014.21,0.0,76.86,712.26,225.0,0,0,48.54545454545455,34.45454545454545,4.181818181818182,0.9090909090909091,0.0,231.0,116.0,75.0,56.68181818181818,43.9,508.03636363636355,115.45454545454545,25.88
597,UNNAMED,35.481,-120.267,1993,6,580.41,0.0,71.64,504.18,4.59,0,0,53.44444444444444,36.666666666666664,8.62962962962963,0.0,0.0,236.72727272727272,78.9090909090909,0.0,73.05185185185185,44.099999999999994,684.3222222222221,0.0,24.900000000000002
598,ROCKY,35.481,-118.751,1995,7,743.58,2.43,67.86,663.93,8.46,0,0,56.14283365876301,36.1994151940461,5.518378384741276,3.6219934355604733,3.138077881268154,194.99819191814728,61.23320956669523,69.93284063216659,54.812286799367186,39.51175228921307,548.5262273578717,374.4655954594603,21.800804610486804
599,LUCAS COMPLEX,35.481,-118.691,1994,6,3695.31,20.16,1659.6,1959.66,8.91,0,0,54.0,39.0,2.0,0.0,3.138077881268154,194.99819191814728,61.23320956669523,13.0,25.4,39.51175228921307,448.7,34.0,21.800804610486804
600,UNNAMED,35.483,-118.713,1988,7,709.38,5.76,414.9,282.87,0.0,0,0,44.0,28.0,2.0,4.0,3.138077881268154,194.99819191814728,61.23320956669523,89.0,33.5,39.51175228921307,355.9538461538462,318.0,21.800804610486804
601,KINGS,35.491,-118.463,2000,8,1267.74,0.0,457.83,551.7,236.25,0,0,48.0,25.0,1.0,0.0,0.0,227.71428571428572,109.42857142857143,0.0,25.9,41.42857142857143,276.5,0.0,25.101428571428578
602,PIUTE,35.495,-118.34,2008,6,14669.01,1.8,3858.93,7387.47,3083.67,0,0,56.14283365876301,36.1994151940461,5.518378384741276,3.6219934355604733,0.6666666666666666,201.33333333333334,94.33333333333333,69.93284063216659,54.812286799367186,40.53333333333333,548.5262273578717,374.4655954594603,22.819999999999997
603,GARDEN,35.518,-118.645,2017,7,598.77,0.36,223.29,337.59,34.29,0,0,47.833333333333336,31.5,3.1666666666666665,3.6219934355604733,0.0,212.0,90.0,69.93284063216659,54.98333333333333,41.099999999999994,421.8333333333333,374.4655954594603,23.744999999999997
604,POSO,35.525,-118.997,1997,8,914.85,0.0,28.35,528.03,358.47,0,0,35.27272727272727,23.09090909090909,1.3636363636363635,0.9090909090909091,0.0,242.0,113.0,17.272727272727273,37.96363636363637,43.3,267.21818181818173,28.636363636363637,25.69
605,PIUTE COMPLEX,35.527,-118.448,2012,8,603.99,0.18,175.23,257.58,161.91,0,0,35.0,24.0,1.0,3.6219934355604733,0.8333333333333334,180.0,61.333333333333336,69.93284063216659,40.6,37.766666666666666,224.8,374.4655954594603,21.773333333333337
606,GRANITE,35.537,-118.953,1997,5,585.09,0.0,11.97,405.99,167.13,0,0,35.27272727272727,23.09090909090909,1.3636363636363635,0.9090909090909091,0.0,242.0,113.0,17.272727272727273,37.96363636363637,43.3,267.2181818181817,28.636363636363637,25.69
607,PINE,35.539,-118.834,2005,9,768.42,1.71,201.69,553.14,11.79,0,0,73.0,47.0,5.0,0.0,0.0,199.0,71.33333333333333,13.0,50.0,41.1,621.3999999999999,13.0,22.776666666666667
608,AERA,35.548,-118.974,1998,7,834.21,0.72,38.43,710.55,84.51,0,0,81.45454545454545,52.0,6.454545454545454,3.6363636363636362,0.0,200.0,85.0,40.45454545454545,40.71818181818181,43.3,671.9727272727275,173.1818181818182,23.92
609,UNNAMED,35.548,-118.974,1993,8,750.51,2.34,119.43,605.79,22.95,0,0,56.14283365876301,36.1994151940461,5.518378384741276,3.6219934355604733,0.0,237.0,97.0,69.93284063216659,54.812286799367186,42.2,548.5262273578717,374.4655954594603,24.8
610,CANYON,35.554,-118.542,2010,9,4475.52,18.63,2374.11,1641.87,414.54,0,7,56.0,41.0,4.0,0.0,0.0,174.0,72.0,13.0,50.8,40.6,797.7,39.0,21.53
611,ERSKINE,35.569,-118.334,2016,6,19454.31,5.31,12138.12,6396.84,171.27,0,0,43.25,26.25,2.0,0.0,0.8571428571428571,191.14285714285714,53.285714285714285,5.0,43.575,38.61428571428571,299.65000000000003,5.0,21.575714285714287
612,CALL BOX,35.57,-118.59,1992,5,651.24,0.0,245.97,400.23,0.18,0,0,44.0,25.0,1.0,0.0,3.138077881268154,194.99819191814728,61.23320956669523,0.0,32.8,39.51175228921307,285.4,0.0,21.800804610486804
613,BODFISH,35.579,-118.388,1984,7,9384.21,0.72,5105.16,3603.6,552.24,0,0,41.0,31.0,0.0,0.0,0.0,223.0,108.0,0.0,25.1,42.8,292.5,0.0,25.22
614,HIGHWAY,35.586,-118.574,2017,6,686.07,0.0,225.63,454.95,2.25,0,0,47.8,31.2,3.2,3.6219934355604733,0.0,212.0,90.0,69.93284063216659,55.82000000000001,41.099999999999994,421.46000000000004,374.4655954594603,23.744999999999997
615,UNNAMED,35.589,-120.206,1992,7,488.34,3.69,0.0,484.65,0.0,0,0,48.59090909090909,28.0,6.045454545454546,0.0,0.0,237.0,92.71428571428571,0.0,44.89090909090909,43.185714285714276,474.32727272727294,0.0,25.31714285714285
616,BOREL,35.589,-118.564,1996,8,1116.81,0.18,572.49,510.03,31.86,0,0,66.0,47.0,8.0,2.0,3.138077881268154,194.99819191814728,61.23320956669523,165.0,85.1,39.51175228921307,831.6,254.0,21.800804610486804
617,UNNAMED,35.593,-120.388,1994,6,642.78,4.59,317.79,320.4,0.0,0,0,44.08108108108108,27.243243243243242,2.6216216216216215,0.0,0.0,227.48275862068965,81.3103448275862,0.0,37.75135135135137,42.906896551724145,351.7486486486488,0.0,24.68827586206896
618,QUAIL COMPLEX,35.605,-119.067,2017,7,808.92,0.18,432.0,376.47,0.27,0,0,56.14283365876301,36.1994151940461,5.518378384741276,3.6219934355604733,0.0,232.0,108.0,69.93284063216659,54.812286799367186,42.8,548.5262273578717,374.4655954594603,25.475
619,BOREL,35.607,-118.5,2002,6,1411.29,18.99,1212.66,173.52,0.45,0,0,30.0,19.0,3.0,0.0,0.0,233.28571428571428,108.57142857142857,0.0,82.8,43.94285714285714,317.7,0.0,25.339999999999996
620,CARO,35.608,-119.837,2005,7,532.35,0.0,434.16,97.56,0.0,0,0,54.36842105263158,21.68421052631579,0.8421052631578947,0.0,0.0,235.95238095238096,96.23809523809524,0.0,23.98947368421053,41.65238095238096,203.88421052631577,0.0,25.263333333333332
621,WOODROW,35.611,-118.446,1984,5,452.34,0.0,0.0,448.29,0.09,0,0,42.0,30.0,0.3333333333333333,0.16666666666666666,0.0,223.0,108.0,6.333333333333333,26.416666666666668,42.8,296.0,8.5,25.22
622,JACKS,35.623,-118.088,1997,8,2160.18,0.18,311.94,785.07,928.98,0,0,25.0,15.363636363636363,2.3636363636363638,0.45454545454545453,12.5,141.0,30.0,71.81818181818181,32.85454545454545,34.45,198.14545454545458,71.81818181818181,17.48
623,46,35.624,-119.789,1995,6,1883.88,58.86,131.58,1614.06,77.85,0,0,50.0,28.0,1.0,0.0,0.0,243.0,99.0,0.0,34.800000000000004,41.7,261.59999999999997,0.0,25.25
624,BROWN,35.624,-119.768,2007,6,546.93,1.71,0.0,181.35,363.42,0,0,25.20689655172414,10.758620689655173,0.0,0.0,0.0,244.0625,108.0,0.0,7.675862068965516,43.64374999999999,63.26551724137932,0.0,25.644999999999996
625,SHERWOOD,35.628,-119.052,1995,5,487.98,0.0,32.4,428.58,27.0,0,0,48.81818181818182,33.72727272727273,1.4545454545454546,0.0,0.0,254.9090909090909,111.45454545454545,0.0,33.74545454545453,42.25454545454545,341.7363636363635,0.0,26.307272727272732
626,NICOLLS,35.631,-118.142,2014,7,745.11,0.27,161.28,320.85,247.14,0,0,31.714285714285715,18.142857142857142,1.7142857142857142,0.0,1.7777777777777777,196.88888888888889,57.666666666666664,0.0,36.214285714285715,36.53333333333333,210.17142857142858,0.0,21.942222222222224
627,LAKELAND,35.642,-118.442,1994,6,1100.07,0.45,340.29,751.32,4.41,0,0,44.0,24.0,0.0,0.0,0.0,235.0,115.0,0.0,21.6,42.2,236.8,0.0,25.98
628,COVE,35.65,-118.365,2011,5,573.57,1.35,186.66,326.61,54.0,0,1,33.0,22.0,0.0,3.6219934355604733,0.3333333333333333,182.33333333333334,82.66666666666667,69.93284063216659,19.1,39.06666666666667,177.4,374.4655954594603,22.180000000000003
629,GILBRETH,35.674,-119.596,1996,7,1896.66,2.52,314.73,1488.06,91.35,0,0,46.629629629629626,24.59259259259259,0.0,0.0,0.0,236.0,115.0,0.0,22.766666666666673,41.699999999999996,246.1851851851852,0.0,25.55
630,MCMILLAN,35.677,-120.373,2019,6,784.62,26.19,138.6,592.2,27.27,0,0,66.78787878787878,44.21212121212121,2.606060606060606,3.6219934355604733,0.0,227.97058823529412,82.17647058823529,69.93284063216659,45.33030303030303,41.22647058823529,520.2454545454545,374.4655954594603,24.710000000000004
631,NET,35.688,-120.08,2006,8,628.38,0.0,102.06,373.68,41.22,0,0,56.14283365876301,36.1994151940461,5.518378384741276,3.6219934355604733,0.0,218.66666666666666,103.66666666666667,69.93284063216659,54.812286799367186,44.63333333333333,548.5262273578717,374.4655954594603,24.646666666666665
632,GILBREATH,35.688,-119.611,1995,7,554.49,9.54,41.58,411.12,92.25,0,1,50.0,28.0,1.0,0.0,0.0,243.0,99.0,0.0,34.8,41.699999999999996,261.6,0.0,25.25
633,DAVIS,35.689,-120.212,2002,6,883.44,6.03,264.78,590.04,22.59,0,0,31.0,21.0,1.0,3.6219934355604733,0.0,223.91666666666666,89.33333333333333,69.93284063216659,29.5,43.11666666666667,192.40000000000003,374.4655954594603,24.500833333333333
634,UNNAMED,35.689,-119.609,1998,8,707.13,10.08,30.33,563.76,102.96,0,8,66.11111111111111,40.18518518518518,1.1851851851851851,0.0,0.0,207.0,80.0,0.0,39.74814814814816,42.199999999999996,399.20370370370375,0.0,23.719999999999995
635,TOWER,35.69,-118.412,1997,7,620.73,0.0,113.13,502.83,3.96,0,1,40.5,25.5,3.5,1.5,3.138077881268154,194.99819191814728,61.23320956669523,95.0,47.60000000000001,39.51175228921307,373.0,107.5,21.800804610486804
